id,cantidad_postes ,latitud,longitud,tipo_lampara,sector_id,descripcion,luminarias_por_poste,capacidad,,,,,,,,,
,1,20.6553199807117,-87.06260345411873,LED ,13,SEMAFOROS,6,25,,,,,,,,,
,1,20.655208750260964,-87.06260283742765,LED ,13,SEMAFOROS,9,25,,,,,,,,,
,1,20.655282754487118,-87.06250016499672,LED ,13,SEMAFOROS,9,25,,,,,,,,,
,1,20.651025226289985,-87.06585403530927,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650895705087628,-87.06574900062455,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649130856784495,-87.06708118948251,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64962146500654,-87.06693811231845,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649533283716597,-87.06678623610786,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649360588506216,-87.06713341729204,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64923932753526,-87.06698976684386,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650423451823677,-87.06630920409017,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.65033719715443,-87.06617871929598,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650803633426978,-87.06604315276842,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650583453754727,-87.0659695360949,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650542768173665,-87.06623228663975,LED ,14,5-Post  (Camellón),2,130,,,,,,,,,
,1,20.650400019032585,-87.06611739246306,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650248172794907,-87.06644850839473,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.650130671494043,-87.06632926020224,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649864113293745,-87.06674798545106,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649780677257834,-87.06661012181202,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.649229848951332,-87.06723393253307,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64897856115295,-87.06741714588053,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.648908800469478,-87.06726051291277,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.648647078495603,-87.06768536734954,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.648528974171096,-87.06755585653974,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64832603138954,-87.06794785258859,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.648249434872316,-87.06783172975372,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.648199894376702,-87.06805941439471,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64811658775534,-87.0679309956177,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64804872035696,-87.06817654884063,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.6479198955547,-87.06804646090859,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.647742324112,-87.06840744774355,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.647615800122722,-87.06827985710945,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.647380832992685,-87.06867078448307,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64724841571413,-87.06857826621238,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.647008015095604,-87.06895091260967,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.646875014015556,-87.06888227872955,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.651427689357007,-87.06534351292333,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.65152873625174,-87.065465001056,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.651336626176093,-87.06561650722634,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.65113384207549,-87.06553312999337,LED ,14,5-Post  (Camellón),2,160,,,,,,,,,
,1,20.64638912829533,-87.06944385644776,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64992411708775,-87.06669100468446,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64879599265059,-87.06756408037913,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.648747200352698,-87.06750261385834,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64870262105033,-87.06741555630077,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.6486282462607,-87.06766134104971,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.648560435458094,-87.06756967856333,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649311737986228,-87.06702621224173,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64931523504507,-87.06716302588102,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649265455001114,-87.06711046193628,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64922523573003,-87.06705566010625,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649176077902634,-87.06724933623875,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649106861328296,-87.0671400499495,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649122458504834,-87.06732818859814,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.64907465002579,-87.06725037772239,LED ,15,8-F de casa,1,175,,,,,,,,,
,1,20.649035523818196,-87.06718100033483,LED ,15,8-F de casa,1,175,,,,,,,,,
